name,length,accuracy,precision,recall,sensitivity,specificity,f1,mcc
bprna1m_bpRNA_RFAM_15055.bpseq,280,0.9995759,0.32867134,0.5595238,0.5595238,0.9996938,0.41409695,0.42864060401916504
RNAStrAlign_Fan.c.trnL_p10.bpseq,281,0.99973214,0.8636364,0.5135135,0.5135135,0.99996173,0.6440678,0.6658362746238708
RNAStrAlign_Ceu.mL1931_p10.bpseq,348,0.9993941,0.49253732,0.35106382,0.35106382,0.99978304,0.4099379,0.4155341386795044
RNASTRAND_ASE_00447.bpseq,348,0.99981827,0.9396985,0.8060345,0.8060345,0.99996173,0.86774945,0.8702170252799988
"RNAStrAlign_Ncr.m.ND5,2_p1.bpseq",261,0.99981827,0.8992248,0.725,0.725,0.9999585,0.8027682,0.807340681552887
bprnanew_NC_016996.1_1-280.bpseq,280,0.9995344,0.2027027,0.51724136,0.51724136,0.99962366,0.29126215,0.3236105144023895
bprna1m_bpRNA_RFAM_38972.bpseq,406,0.9994196,0.5,0.42857143,0.42857143,0.99975115,0.46153846,0.4626220464706421
RNAStrAlign_Pps.S1506-2.bpseq,507,0.9990912,0.5133531,0.58843535,0.58843535,0.99947655,0.5483359,0.5491624474525452
"RNAStrAlign_Pan.m.COX1,16_p10.bpseq",277,0.9997194,0.84615386,0.6179775,0.6179775,0.99993616,0.7142857,0.7229910492897034
bprna1m_bpRNA_RFAM_14674.bpseq,273,0.99945474,1.6393443e-13,9.090909e-14,9.090909e-14,0.9998054,1.1695908e-13,-0.00026127847377210855
bprna1m_bpRNA_RFAM_26557.bpseq,362,0.9993431,8.9285716e-14,1.0638298e-13,1.0638298e-13,0.9996427,9.708738e-14,-0.00032729512895457447
TestSetA_585.bpseq,380,0.99959505,0.589404,0.5779221,0.5779221,0.9998022,0.5836066,0.5834322571754456
RNAStrAlign_T.celerAL1-2.bpseq,331,0.999477,0.5,0.5365854,0.5365854,0.99971926,0.5176471,0.5177086591720581
bprna1m_bpRNA_RFAM_25552.bpseq,294,0.9995759,0.25225225,0.35897437,0.35897437,0.99973524,0.2962963,0.3007126450538635
RNAStrAlign_Gvi.S516.bpseq,371,0.9994069,0.5811966,0.60714287,0.60714287,0.99968725,0.59388644,0.5937315225601196
RNAStrAlign_Aco.S989.bpseq,360,0.9993846,0.62091506,0.41304347,0.41304347,0.9998149,0.49608353,0.506134569644928
TrainSetA_1986.bpseq,493,0.99966836,0.8076923,0.8513514,0.8513514,0.9998085,0.82894737,0.829069197177887
bprnanew_URS0000D664D8_12908_1-451.bpseq,451,0.99901783,0.11111111,0.20634921,0.20634921,0.9993365,0.14444445,0.15095803141593933
RNASTRAND_TMR_00672.bpseq,368,0.9994069,0.4,0.1882353,0.1882353,0.9998469,0.256,0.27413514256477356
bprnanew_URS0000D6AB7D_12908_1-270.bpseq,270,0.99958545,0.27586207,0.15384616,0.15384616,0.999866,0.19753087,0.20581600069999695
TrainSetA_1387.bpseq,353,0.9993017,0.43455496,0.42783505,0.42783505,0.9996554,0.4311688,0.43083256483078003
RNAStrAlign_Pseudoanabaena-PCC6903.bpseq,450,0.99956954,0.75645757,0.7481752,0.7481752,0.99978936,0.7522936,0.7520895600318909
RNAStrAlign_Bcit.S1506.bpseq,379,0.99933034,0.5169492,0.559633,0.559633,0.99963623,0.5374449,0.537533700466156
TestSetA_488.bpseq,504,0.9989477,0.40243903,0.49624062,0.49624062,0.99937445,0.44444445,0.4463662803173065
bprnanew_URS0000D67ABE_12908_1-375.bpseq,375,0.9994292,0.4397163,0.38271606,0.38271606,0.99974793,0.4092409,0.40994346141815186
RNAStrAlign_Aae.mL580_p10.bpseq,303,0.9995823,0.67096776,0.5652174,0.5652174,0.9998373,0.6135693,0.615621030330658
bprna1m_bpRNA_RFAM_40403.bpseq,315,0.9993017,0.35031846,0.31976745,0.31976745,0.99967456,0.3343465,0.33434590697288513
"RNAStrAlign_Twort.v.ORF142,2_p10.bpseq",272,0.9997194,0.739726,0.6835443,0.6835443,0.99987876,0.71052635,0.7109407782554626
RNAStrAlign_AF221934.121-565.bpseq,445,0.9989923,0.34319526,0.552381,0.552381,0.9992916,0.4233577,0.43493205308914185
bprna1m_bpRNA_RFAM_35404.bpseq,315,0.99939734,0.043956045,0.03773585,0.03773585,0.9997225,0.04060914,0.040426887571811676
bprnanew_CP001363.1_3039003-3039312.bpseq,310,0.9994643,0.525641,0.23837209,0.23837209,0.9998819,0.32799998,0.3537464439868927
archiveII_tmRNA_Pelo.carb._CP000142_1-358.bpseq,358,0.99950576,0.47668394,0.63013697,0.63013697,0.9996778,0.5427728,0.5478267073631287
bprna1m_bpRNA_RFAM_18018.bpseq,269,0.9996078,0.6752137,0.4817073,0.4817073,0.99987876,0.56227756,0.5701253414154053
bprna1m_bpRNA_RFAM_3469.bpseq,357,0.9996492,0.4909091,0.5,0.5,0.99982136,0.49541286,0.49525827169418335
RNAStrAlign_Mast.papi._AF550352.bpseq,333,0.9996652,3.030303e-13,1.3888889e-13,1.3888889e-13,0.99989474,1.9047619e-13,-0.0001554604241391644
TrainSetA_2194.bpseq,416,0.9993527,0.4779874,0.3877551,0.3877551,0.9997352,0.428169,0.43019428849220276
bprnanew_URS0000D6626A_12908_1-258.bpseq,258,0.9994866,0.29457363,0.35185185,0.35185185,0.9997097,0.3206751,0.3216865658760071
TrainSetA_1510.bpseq,351,0.9992889,0.41450778,0.42105263,0.42105263,0.99963945,0.41775456,0.4174116551876068
archiveII_srp_Lyco.escu._Z29105.bpseq,304,0.99958545,0.7536232,0.52,0.52,0.9998915,0.6153846,0.6258139610290527
RNAStrAlign_Kluy.lact._CR382126.bpseq,499,0.9984024,0.22198732,0.44117647,0.44117647,0.9988256,0.2953587,0.3122306764125824
archiveII_tmRNA_Magn.spec._CP000471_1-366.bpseq,366,0.9996078,0.6814159,0.4695122,0.4695122,0.99988514,0.55595666,0.565441906452179
RNAStrAlign_Leo_sp-4.S989.bpseq,387,0.99952805,0.7346939,0.6,0.6,0.99983406,0.6605505,0.6637097597122192
RNAStrAlign_Dfr.S943-2.bpseq,472,0.9993718,0.6707819,0.58214283,0.58214283,0.99974465,0.623327,0.6245817542076111
RNAStrAlign_Ama.mL2504.bpseq,344,0.99964285,0.82051283,0.6037736,0.6037736,0.99991065,0.6956522,0.7036823630332947
RNAStrAlign_Nsp-Cr3.b.trnL.bpseq,329,0.9994643,0.5253165,0.4715909,0.4715909,0.9997607,0.497006,0.4974624514579773
TrainSetA_3099.bpseq,264,0.99973536,0.57831323,0.5,0.5,0.99988836,0.5363128,0.5376016497612
bprna1m_bpRNA_RFAM_35788.bpseq,269,0.9995823,0.47761193,0.25,0.25,0.99988836,0.32820514,0.3453594446182251
TrainSetA_1499.bpseq,344,0.99913263,0.074074075,0.044444446,0.044444446,0.99968094,0.055555556,0.05695908144116402
RNAStrAlign_Rfi.S516.bpseq,465,0.9993017,0.61027193,0.6917808,0.6917808,0.99958825,0.6484751,0.6494032740592957
RNAStrAlign_Cmo.S943.bpseq,438,0.9994515,0.68487394,0.6269231,0.6269231,0.9997606,0.65461844,0.6549850106239319
bprna1m_bpRNA_RFAM_27059.bpseq,277,0.99944836,0.5321101,0.32222223,0.32222223,0.9998373,0.40138412,0.4138185381889343
RNASTRAND_ASE_00025.bpseq,397,0.99933994,0.24806201,0.22535211,0.22535211,0.99969053,0.23616235,0.23610499501228333
